name,url,tier,region,media_type,description,why
New York Times,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml,national,us,news,Major nonprofit newspaper covering national and international news with investigative reporting,Largest circulation US newspaper; shapes mainstream narrative across political spectrum
Colorado Sun,https://coloradosun.com/feed/,community,us,news,Nonprofit newsroom covering Colorado government and communities,Colorado regional reporting; covers Western state issues
The Lens,https://thelensnola.org/feed/,community,us,news,Nonprofit newsroom covering New Orleans and Louisiana,Gulf Coast regional coverage; represents post-Katrina recovery and Southern justice
Source NM,https://sourcenm.com/feed/,community,us,news,Nonprofit newsroom covering New Mexico state government,New Mexico regional reporting; covers Southwest and border state issues
Montana Free Press,https://montanafreepress.org/feed/,community,us,news,Nonprofit newsroom covering Montana state government and public lands,Montana regional reporting; covers rural Western issues and public lands
Idaho Capital Sun,https://idahocapitalsun.com/feed/,community,us,news,Nonprofit newsroom covering Idaho state government and policy,Idaho regional reporting; covers Western state governance
Kansas Reflector,https://kansasreflector.com/feed/,community,us,news,Nonprofit newsroom covering Kansas state government and policy,Kansas regional reporting; covers Great Plains state issues
Arizona Mirror,https://azmirror.com/feed/,community,us,news,Nonprofit newsroom covering Arizona state government and policy,Arizona regional reporting; covers Southwest border state issues
NC Health News,https://www.northcarolinahealthnews.org/feed/,community,us,news,Nonprofit newsroom covering North Carolina health policy,North Carolina health coverage; covers Southern state health access issues
Alaska Public Media,https://alaskapublic.org/feed/,community,us,news,Public media organization covering Alaska and Arctic issues,Alaska and Arctic coverage; represents remote and Indigenous Alaska perspective
City Limits,https://citylimits.org/feed/,community,us,news,Nonprofit newsroom covering New York City housing and policy,NYC urban policy specialist; covers housing, poverty, and city governance
Voice of San Diego,https://voiceofsandiego.org/feed/,community,us,news,Nonprofit newsroom covering San Diego government and border issues,San Diego and border region coverage; covers US-Mexico border communities
Baltimore Banner,https://news.google.com/rss/search?q=site:thebaltimorebanner.com+when:3d&hl=en-US&gl=US&ceid=US:en,community,us,news,Nonprofit newsroom covering Baltimore and Maryland,Baltimore regional reporting; covers urban Black community issues and governance
Haitian Times,https://haitiantimes.com/feed/,community,us,news,Publication covering Haitian American and Haitian diaspora communities,Haitian diaspora perspective; represents Haitian American community
Navajo Times,https://news.google.com/rss/search?q=site:navajotimes.com+when:3d&hl=en-US&gl=US&ceid=US:en,community,us,news,Newspaper serving the Navajo Nation and tribal communities,Navajo and tribal perspective; represents Indigenous governance and community
Futuro Media,https://news.google.com/rss/search?q=site:futuromediagroup.org+when:3d&hl=en-US&gl=US&ceid=US:en,community,us,news,Multimedia organization producing journalism for and about communities of color,Communities of color perspective; produces Latino and immigrant community journalism
Colorlines,https://news.google.com/rss/search?q=site:colorlines.com+when:3d&hl=en-US&gl=US&ceid=US:en,community,us,news,Publication covering race and social justice,Racial justice journalism; covers intersection of race and policy
Mother Jones,https://www.motherjones.com/feed/,national,us,news,Progressive magazine covering politics and investigative reporting,Major progressive publication; represents left-wing investigative journalism
Defense One,https://www.defenseone.com/rss/,specialist,security,news,Publication covering defense policy and military technology,Defense policy specialist; covers military modernization and strategy
E&E News,https://news.google.com/rss/search?q=site:eenews.net+when:3d&hl=en-US&gl=US&ceid=US:en,specialist,climate,news,Publication covering energy and environmental policy,Energy and environment policy specialist; covers climate regulation and industry
TechCrunch,https://techcrunch.com/feed/,specialist,ai,news,Publication covering technology startups and venture capital,Tech industry specialist; covers AI and tech company developments
Bellingcat,https://www.bellingcat.com/feed/,specialist,information,news,Open-source intelligence and investigative journalism organization,Open-source investigation specialist; covers disinformation and conflict verification
Health Affairs,https://www.healthaffairs.org/action/showFeed?type=etoc&feed=rss&jc=hlthaff,specialist,health,news,Peer-reviewed journal covering health policy research,Leading health policy journal; covers healthcare system and public health
Nature News,https://www.nature.com/nature.rss,specialist,health,news,International science journal covering research across all scientific disciplines,Premier science journal; represents cutting-edge scientific research
The War Zone,https://www.thedrive.com/the-war-zone/feed,specialist,security,news,Publication covering military technology and defense developments,Military technology specialist; covers weapons systems and defense innovation
CityLab,https://news.google.com/rss/search?q=site:bloomberg.com/citylab+when:3d&hl=en-US&gl=US&ceid=US:en,specialist,governance,news,Publication covering urban policy and city governance,Urban policy specialist; covers housing, transportation, and city planning
Press Freedom Tracker,https://news.google.com/rss/search?q=site:pressfreedomtracker.us+when:3d&hl=en-US&gl=US&ceid=US:en,specialist,information,news,Database tracking press freedom incidents in the United States,Press freedom monitoring; documents threats to journalism in America
Council on Foreign Relations,https://news.google.com/rss/search?q=site:cfr.org+when:3d&hl=en-US&gl=US&ceid=US:en,analysis,us,news,Nonpartisan foreign policy think tank and publisher,Leading foreign policy institution; represents establishment international relations thinking
Center for Strategic and International Studies,https://news.google.com/rss/search?q=site:csis.org+when:3d&hl=en-US&gl=US&ceid=US:en,analysis,us,news,Bipartisan policy research organization covering security and international issues,Major bipartisan think tank; covers defense and international security
New America,https://news.google.com/rss/search?q=site:newamerica.org+when:3d&hl=en-US&gl=US&ceid=US:en,analysis,us,news,Policy institute covering technology, security, and social policy,Progressive-centrist think tank; covers technology policy and workforce
Cato Institute,https://news.google.com/rss/search?q=site:cato.org+when:3d&hl=en-US&gl=US&ceid=US:en,analysis,us,news,Libertarian think tank covering civil liberties, free markets, and foreign policy,Libertarian policy research; represents limited-government conservative perspective
Urban Institute,https://news.google.com/rss/search?q=site:urban.org+when:3d&hl=en-US&gl=US&ceid=US:en,analysis,us,news,Nonpartisan research organization studying social and economic policy,Urban and social policy research; covers poverty, housing, and inequality
Migration Policy Institute,https://news.google.com/rss/search?q=site:migrationpolicy.org+when:3d&hl=en-US&gl=US&ceid=US:en,analysis,us,news,Nonpartisan research organization studying immigration and refugee policy,Immigration policy research; provides data-driven analysis of migration
Bipartisan Policy Center,https://news.google.com/rss/search?q=site:bipartisanpolicy.org+when:3d&hl=en-US&gl=US&ceid=US:en,analysis,us,news,Policy organization promoting bipartisan solutions to domestic policy challenges,Centrist bipartisan research; represents cross-party policy solutions
The Daily,https://feeds.simplecast.com/54nAGcIl,podcast,us,podcast,NYT daily news podcast reaching 4M listeners daily,Largest news podcast in America; shapes daily narrative for millions
NPR Up First,https://feeds.npr.org/510318/podcast.xml,podcast,us,podcast,NPR morning news briefing reaching 3.5M daily,Top public radio news podcast; concise daily briefing
Ben Shapiro Show,https://feeds.megaphone.fm/WWO3519750118,podcast,us,podcast,Conservative daily news and commentary podcast,Major conservative podcast; 2M+ daily listeners
Ezra Klein Show,https://feeds.simplecast.com/82FI35Px,podcast,us,podcast,In-depth interviews and analysis on politics and ideas,Influential long-form political interview show; 1.5M weekly
Pivot (Kara Swisher),https://feeds.megaphone.fm/pivot,podcast,us,podcast,Tech and business commentary from Kara Swisher and Scott Galloway,Major tech/business podcast; 1M weekly listeners
Hard Fork (NYT),https://feeds.simplecast.com/l2i9YnTd,podcast,us,podcast,NYT podcast covering AI and tech culture,Leading AI and tech culture podcast
Planet Money (NPR),https://feeds.npr.org/510289/podcast.xml,podcast,us,podcast,NPR podcast making economics accessible through storytelling,Economics podcast reaching 2M weekly; makes complex topics accessible
Marketplace (APM),https://feeds.publicradio.org/public_feeds/marketplace/rss/rss,podcast,us,podcast,Daily business and economics radio show,Largest daily business show; 14M weekly listeners
On the Media (WNYC),https://feeds.feedburner.com/onthemedia,podcast,us,podcast,WNYC show analyzing how media covers the news,Premier media criticism show; 1M weekly
Freakonomics Radio,https://feeds.simplecast.com/Y8lFbOT4,podcast,us,podcast,Podcast exploring the hidden side of everything through data,Major economics and behavior podcast; 1.5M weekly
Radiolab,https://feeds.feedburner.com/radiolab,podcast,us,podcast,WNYC show exploring science and philosophy through storytelling,Award-winning science and ideas podcast; 2M weekly
CFR The World Next Week,https://feeds.cfr.org/TWNWPodcast,podcast,us,podcast,Council on Foreign Relations weekly foreign policy podcast,Expert foreign policy analysis podcast
Heather Cox Richardson,https://heathercoxrichardson.substack.com/feed,newsletter,us,newsletter,Daily political history and analysis newsletter with 1.5M subscribers,Largest political newsletter in America; provides historical context to current events
Kyla Scanlon,https://kylascanlon.substack.com/feed,newsletter,us,newsletter,Economics and markets newsletter making finance accessible,Leading economics creator; makes complex financial concepts accessible
Matt Taibbi (Racket News),https://www.racket.news/feed,newsletter,us,newsletter,Independent journalism newsletter covering media and politics,Prominent independent journalist; covers media criticism and civil liberties
Popular Information (Judd Legum),https://popular.info/feed,newsletter,us,newsletter,Newsletter investigating corporate accountability and political influence,Investigative newsletter; tracks corporate money in politics
The Lever (David Sirota),https://www.levernews.com/rss/,newsletter,us,newsletter,Investigative journalism newsletter covering corporate and political power,Investigative newsletter on corporate power and government accountability
Slow Boring (Matt Yglesias),https://www.slowboring.com/feed,newsletter,us,newsletter,Center-left policy analysis newsletter,Major center-left policy newsletter; covers governance and urban policy
The Free Press (Bari Weiss),https://www.thefp.com/feed,newsletter,us,newsletter,Independent journalism newsletter covering culture and politics,Heterodox media outlet; covers free speech and cultural debates
White House,https://news.google.com/rss/search?q=site:whitehouse.gov+when:3d&hl=en-US&gl=US&ceid=US:en,government,us,government,Official White House releases and statements,Primary source for executive branch actions and policy
GAO Reports,https://www.gao.gov/rss/reports.xml,government,us,government,Government Accountability Office audit and investigation reports,Federal watchdog reports on government spending and programs
CBO Reports,https://news.google.com/rss/search?q=site:cbo.gov+when:3d&hl=en-US&gl=US&ceid=US:en,government,us,government,Congressional Budget Office cost estimates and economic projections,Non-partisan budget analysis; basis for policy debate
Supreme Court,https://news.google.com/rss/search?q=site:supremecourt.gov+when:7d&hl=en-US&gl=US&ceid=US:en,government,us,government,Supreme Court opinions and orders,Highest court decisions shaping American law
Congress.gov,https://news.google.com/rss/search?q=site:congress.gov+when:3d&hl=en-US&gl=US&ceid=US:en,government,us,government,Congressional legislation and actions,Primary source for legislative activity
Census Bureau,https://news.google.com/rss/search?q=site:census.gov+when:7d&hl=en-US&gl=US&ceid=US:en,research,us,research,US Census Bureau data releases and reports,Primary demographic and economic data for the United States
Bureau of Labor Statistics,https://news.google.com/rss/search?q=site:bls.gov+when:7d&hl=en-US&gl=US&ceid=US:en,research,us,research,Employment and economic data releases,Primary source for jobs and labor market data
Federal Reserve,https://news.google.com/rss/search?q=site:federalreserve.gov+when:7d&hl=en-US&gl=US&ceid=US:en,research,us,research,Federal Reserve policy statements and economic research,Central bank policy and economic analysis
